time,absoluteSensor2.r[2],absoluteSensor.r[2]
1519.8,-0.993535591,-0.260468117
1520.4,-0.993964329,-0.270436257
1521,-0.994383806,-0.284564579
1521.6,-0.994793808,-0.3026453
1522.2,-0.995194122,-0.324470307
1522.8,-0.995584385,-0.349681582
1523.4,-0.995964201,-0.377888038
1524,-0.996333235,-0.408758796
1524.6,-0.996690993,-0.441804092
1525.2,-0.997036972,-0.476526395
1525.8,-0.997370696,-0.512453073
1526.4,-0.997691653,-0.549075966
1527,-0.997999284,-0.585839739
1527.6,-0.998293054,-0.622212789
1528.2,-0.998572465,-0.657701657
1528.8,-0.998836983,-0.691773321
1529.4,-0.999086106,-0.723930413
1530,-0.999319387,-0.753727508
1530.6,-0.999536386,-0.780728836
1531.2,-0.999736717,-0.804549456
1531.8,-0.999920028,-0.824840933
